Reaction_ID,Definition
R06635,"Acetyl-CoA + 7 Malonyl-CoA + Acyl-carrier protein <=> 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp] + 7 CO2 + 7 CoA"
R06637,"Butanoyl-CoA + 7 Malonyl-CoA + Acyl-carrier protein <=> 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp] + 7 CO2 + 7 CoA"
R06641,"Malonamoyl-CoA + 8 Malonyl-CoA + Acyl-carrier protein <=> 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp] + 8 CO2 + 9 CoA"
R06643,"10 Malonyl-CoA + Acyl-carrier protein <=> 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp] + 10 CO2 + 10 CoA"
R06644,"Propanoyl-CoA + 9 Malonyl-CoA + Acyl-carrier protein <=> 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp] + 9 CO2 + 9 CoA"
R06645,"Butanoyl-CoA + 9 Malonyl-CoA + Acyl-carrier protein <=> 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp] + 9 CO2 + 9 CoA"
R09258,"8 Malonyl-CoA + Acyl-carrier protein <=> 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp] + 8 CO2 + 8 CoA"
R09259,"3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp] <=> 7,9,12-Octaketide intermediate 1"
R10960,10 Malonyl-CoA <=> Tetracenomycin F2 + 10 CoA + 10 CO2 + 2 H2O
R11516,"Malonamoyl-[acyl-carrier protein] + 8 Malonyl-CoA <=> 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp] + 8 CO2 + 8 CoA"
