query,KEGG_Pathway,KEGG_Reaction,product_name
tetracenomycin_F2_cyclase,01057,R09340,UWM6
polyketide_putative_beta-ketoacyl_synthase,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
polyketide_putative_beta-ketoacyl_synthase_2,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
acyl_carrier_protein,"00253, 01056","R06635, R06637, R06641, R06643, R06644, R06645, R09258, R09259, R10960, R11516","3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp], CO2, CoA, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp], CO2, CoA, 3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp], CO2, CoA, 7,9,12-Octaketide intermediate 1, Tetracenomycin F2, CoA, CO2, H2O, 18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp], CO2, CoA"
putative_ketoacyl_reductase,"00253, 01056","R06642, R09262, R09263, R09264","C-9 Reduced nonaketamide, NADP+, 7,9,12-Octaketide intermediate 2, NADP+, 7,9,12-Decaketide intermediate 2, NADP+, 7,9,12-Decaketide intermediate 5, NADP+"
putative_polyketide_cyclase,01056,R09265,"7,9,12-Octaketide intermediate 3, H2O"
anhydrotetracycline_monooxygenase,01057,"R06656, R09341, R09342, R09343, R09346","Rabelomycin, Rabelomycin, 2,3-Dehydro-UWM6, H2O, Dehydrorabelomycin, 11-Deoxylandomycinone"
"2-succinyl-6-hydroxy-2,_4-cyclohexadiene-1-carboxylate_synthase",,,
glucose-1-phosphate_thymidylyltransferase_1,"00525, 00523, 00521",R02328,"Diphosphate, dTDP-glucose"
"dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose_transaminase","00523, 01055","R06426, R06631, R08928, R08930","dTDP-3-amino-3,4,6-trideoxy-D-glucose, 2-Oxoglutarate, dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose, 2-Oxoglutarate, dTDP-2,6-dideoxy-D-kanosamine, dTDP-4-oxo-2,3,6-trideoxy-D-glucose, H2O, Oxidized ferredoxin"
