Contig,Region,BGC_ID,Similarity,pathway,reactions,products
contig_1,Region 1,BGC0000888.5,0.41,[],[],[]
contig_1,Region 1,BGC0002218.2,0.39,[],[],[]
contig_1,Region 1,BGC0000043.5,0.39,[],[],[]
contig_1,Region 1,BGC0001184.4,0.38,"['00300', '00270']","['R11068', 'R07396', 'R07613']","['L-Dihydroanticapsin', 'L-Glutamate', 'Phenylpyruvate', '2-Oxoglutarate', 'L-Methionine', '2,3,4,5-Tetrahydrodipicolinate', 'H2O']"
contig_1,Region 1,BGC0001197.5,0.37,['00780'],"['R04960', 'R10120', 'R04533', 'R04968', 'R07759', 'R04964', 'R04566', 'R04726', 'R04543', 'R04963', 'R10119', 'R07762', 'R04536', 'R10116', 'R04953', 'R04952', 'R07763', 'R01521', 'R04534', 'R01520', 'R04957', 'R04355', 'R10115', 'R11671']","['3-Ketopimeloyl-[acp] methyl ester', '3-Oxohexadecanoyl-[acp]', 'Acyl-carrier protein', 'Dodecanoyl-[acyl-carrier protein]', '3-Oxotetradecanoyl-[acp]', '3-Ketoglutaryl-[acp] methyl ester', '3-Hydroxyoctadecanoyl-CoA', 'H+', 'NADH', '3-Oxooctanoyl-[acp]', 'NADP+', 'Acetoacetyl-[acp]', '3-Oxohexanoyl-[acp]', '3-Oxododecanoyl-[acp]', 'D-Glucono-1,5-lactone', '(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]', 'NADPH', '3-Oxostearoyl-[acp]', '3-Hydroxyglutaryl-[acp] methyl ester', 'CO2', '3-Oxodecanoyl-[acp]', '3-Hydroxypimeloyl-[acp] methyl ester']"
contig_1,Region 1,BGC0002000.4,0.36,['01056'],"['R09265', 'R06635', 'R06644', 'R11516', 'R09259', 'R06645', 'R06643', 'R09258', 'R06641', 'R09262', 'R09264', 'R10960', 'R09263', 'R06637', 'R06642']","['18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]', 'NADP+', 'Tetracenomycin F2', '3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]', '7,9,12-Octaketide intermediate 1', 'CoA', 'CO2', '7,9,12-Octaketide intermediate 2', '7,9,12-Decaketide intermediate 5', '3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]', '7,9,12-Decaketide intermediate 2', '7,9,12-Octaketide intermediate 3', '3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]', 'C-9 Reduced nonaketamide', 'H2O']"
contig_1,Region 1,BGC0000188.5,0.36,['00260'],"['R00565', 'R01989', 'R00371', 'R10124', 'R03210']","['8-Amino-7-oxononanoate', 'CoA', 'CO2', 'Acyl-carrier protein', '4-Guanidinobutanoate', 'L-2-Amino-3-oxobutanoic acid', 'L-Ornithine', 'Guanidinoacetate']"
contig_1,Region 1,BGC0001810.3,0.35,"['04973', '00500']","['R02108', 'R02112', 'R11262']","['Maltose', 'Dextrin', 'Starch']"
contig_1,Region 1,BGC0002477.3,0.35,['01056'],"['R09265', 'R06635', 'R06644', 'R11516', 'R09259', 'R06645', 'R06643', 'R09262', 'R09264', 'R06641', 'R09258', 'R10960', 'R09263', 'R06637', 'R06642']","['18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]', 'NADP+', 'Tetracenomycin F2', '3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]', '7,9,12-Octaketide intermediate 1', 'CoA', 'CO2', '7,9,12-Octaketide intermediate 2', '7,9,12-Decaketide intermediate 5', '3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]', '7,9,12-Decaketide intermediate 2', '7,9,12-Octaketide intermediate 3', '3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]', 'C-9 Reduced nonaketamide', 'H2O']"
contig_1,Region 1,BGC0000384.6,0.35,"['01052', '01040', '00780', '00333']","['R04953', 'R10120', 'R07763', 'R07759', 'R04964', 'R10116', 'R04533', 'R04534', 'R04566', 'R04536', 'R04543', 'R11671']","['NADPH', '3-Oxooctanoyl-[acp]', 'NADP+', '3-Hydroxyglutaryl-[acp] methyl ester', 'Acetoacetyl-[acp]', '3-Oxohexadecanoyl-[acp]', '3-Oxotetradecanoyl-[acp]', '3-Oxohexanoyl-[acp]', '3-Oxododecanoyl-[acp]', '(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]', '3-Oxodecanoyl-[acp]', '3-Hydroxyoctadecanoyl-CoA', '3-Hydroxypimeloyl-[acp] methyl ester', 'Dodecanoyl-[acyl-carrier protein]', 'H+']"
