Contig,Region,BGC_ID,Similarity
contig_1,Region 1,BGC0000888.5,0.41
contig_1,Region 1,BGC0002218.2,0.39
contig_1,Region 1,BGC0000043.5,0.39
contig_1,Region 1,BGC0001184.4,0.38
contig_1,Region 1,BGC0001197.5,0.37
contig_1,Region 1,BGC0002000.4,0.36
contig_1,Region 1,BGC0000188.5,0.36
contig_1,Region 1,BGC0001810.3,0.35
contig_1,Region 1,BGC0002477.3,0.35
contig_1,Region 1,BGC0000384.6,0.35
contig_1,Region 2,BGC0001962.3,0.27
contig_1,Region 2,BGC0000188.5,0.24
contig_1,Region 2,BGC0001650.4,0.23
contig_1,Region 2,BGC0000452.5,0.21
contig_1,Region 2,BGC0000651.5,0.2
contig_1,Region 2,BGC0001283.3,0.19
contig_1,Region 3,BGC0002689.2,1.19
contig_1,Region 3,BGC0001132.4,0.75
contig_1,Region 3,BGC0002286.3,0.72
contig_1,Region 3,BGC0001833.4,0.72
contig_1,Region 3,BGC0001128.4,0.72
contig_1,Region 3,BGC0001825.4,0.72
contig_1,Region 3,BGC0001758.4,0.71
contig_1,Region 3,BGC0000343.5,0.71
contig_1,Region 3,BGC0001135.5,0.7
contig_1,Region 3,BGC0001641.4,0.68
contig_1,Region 4,BGC0002397.2,0.47
contig_1,Region 4,BGC0002400.2,0.44
contig_1,Region 4,BGC0002398.2,0.38
contig_1,Region 4,BGC0000640.3,0.37
contig_1,Region 4,BGC0000630.3,0.36
contig_1,Region 4,BGC0000643.3,0.36
contig_1,Region 4,BGC0000634.3,0.35
contig_1,Region 4,BGC0002219.2,0.35
contig_1,Region 4,BGC0000639.3,0.35
contig_1,Region 4,BGC0000641.3,0.35
contig_1,Region 5,BGC0002341.2,0.75
contig_1,Region 5,BGC0002608.2,0.75
contig_1,Region 5,BGC0000836.5,0.64
contig_1,Region 5,BGC0002008.3,0.63
contig_1,Region 5,BGC0002276.2,0.6
contig_1,Region 5,BGC0002154.2,0.59
contig_1,Region 5,BGC0001895.4,0.5
contig_1,Region 5,BGC0001723.5,0.49
contig_1,Region 5,BGC0002047.2,0.49
contig_1,Region 5,BGC0000837.4,0.49
